 7.46833 seconds
         7592052 function calls (7589898 primitive calls) in 7.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       90    0.000    0.000    0.005    0.000 typing.py:677(__getitem__)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
    115/3    0.000    0.000    0.154    0.051 <frozen importlib._bootstrap_external>:777(exec_module)
      393    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
       35    0.000    0.000    0.004    0.000 _make.py:1340(_make_init)
      363    0.000    0.000    0.000    0.000 typing.py:711(__eq__)
       90    0.000    0.000    0.004    0.000 typing.py:187(_subs_tvars)
      476    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      434    0.000    0.000    0.003    0.000 typing.py:358(<genexpr>)
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       59    0.000    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       97    0.000    0.000    0.001    0.000 enum.py:65(__setitem__)
    71/21    0.000    0.000    0.008    0.000 sre_parse.py:435(_parse_sub)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
       36    0.000    0.000    0.006    0.000 _make.py:450(__init__)
       26    0.000    0.000    0.026    0.001 householder.py:22(multiply_left)
      695    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      628    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      695    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       27    0.000    0.000    0.003    0.000 _make.py:1168(_make_eq)
      341    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      150    0.000    0.000    0.005    0.000 typing.py:689(copy_with)
       78    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
      342    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      226    0.000    0.000    0.000    0.000 _make.py:715(_add_method_dunders)
       60    0.000    0.000    0.004    0.000 typing.py:818(__getitem_inner__)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       82    0.000    0.000    0.001    0.000 _make.py:1814(from_counting_attr)
       37    0.000    0.000    0.003    0.000 _make.py:231(_make_attr_tuple_class)
      143    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      235    0.000    0.000    0.004    0.000 matrix.py:283(transpose)
      120    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      391    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
     10/1    0.000    0.000    0.000    0.000 apipkg.py:92(__init__)
